service_id,date,exception_type
"0001","20220912","1"
"0001","20220913","1"
"0001","20220914","1"
"0001","20220915","1"
"0001","20220916","1"
"0001","20220917","1"
"0003","20220918","1"
"0001","20220919","1"
"0001","20220920","1"
"0001","20220921","1"
"0001","20220922","1"
"0001","20220923","1"
"0001","20220924","1"
"0003","20220925","1"
"0001","20220926","1"
"0001","20220927","1"
"0001","20220928","1"
"0001","20220929","1"
"0001","20220930","1"
"0001","20221001","1"
"0003","20221002","1"
"0001","20221003","1"
"0001","20221004","1"
"0001","20221005","1"
"0001","20221006","1"
"0001","20221007","1"
"0001","20221008","1"
"0003","20221009","1"
"0001","20221010","1"
"0001","20221011","1"
"0001","20221012","1"
"0001","20221013","1"
"0001","20221014","1"
"0001","20221015","1"
"0003","20221016","1"
"0001","20221017","1"
"0001","20221018","1"
"0001","20221019","1"
"0001","20221020","1"
"0001","20221021","1"
"0001","20221022","1"
"0003","20221023","1"
"0001","20221024","1"
"0001","20221025","1"
"0001","20221026","1"
"0001","20221027","1"
"0001","20221028","1"
"0001","20221029","1"
"0003","20221030","1"
"0001","20221031","1"
"0003","20221101","1"
"0002","20221102","1"
"0001","20221103","1"
"0001","20221104","1"
"0001","20221105","1"
"0003","20221106","1"
"0001","20221107","1"
"0001","20221108","1"
"0001","20221109","1"
"0001","20221110","1"
"0001","20221111","1"
"0001","20221112","1"
"0003","20221113","1"
"0001","20221114","1"
"0001","20221115","1"
"0001","20221116","1"
"0001","20221117","1"
"0001","20221118","1"
"0001","20221119","1"
"0003","20221120","1"
"0001","20221121","1"
"0001","20221122","1"
"0001","20221123","1"
"0001","20221124","1"
"0001","20221125","1"
"0001","20221126","1"
"0003","20221127","1"
"0001","20221128","1"
"0001","20221129","1"
"0001","20221130","1"
"0001","20221201","1"
"0001","20221202","1"
"0001","20221203","1"
"0003","20221204","1"
"0001","20221205","1"
"0002","20221206","1"
"0001","20221207","1"
"0003","20221208","1"
"0001","20221209","1"
"0001","20221210","1"
"0003","20221211","1"
"0001","20221212","1"
"0001","20221213","1"
"0001","20221214","1"
"0001","20221215","1"
"0001","20221216","1"
"0001","20221217","1"
"0003","20221218","1"
"0001","20221219","1"
"0001","20221220","1"
"0001","20221221","1"
"0001","20221222","1"
"0002","20221223","1"
"0002","20221224","1"
"0004","20221225","1"
"0003","20221226","1"
"0002","20221227","1"
"0002","20221228","1"
"0002","20221229","1"
"0002","20221230","1"
"0002","20221231","1"
"0004","20230101","1"
"0002","20230102","1"
"0002","20230103","1"
"0002","20230104","1"
"0002","20230105","1"
"0003","20230106","1"
"0001","20230107","1"
"0003","20230108","1"
"0001","20230109","1"
"0001","20230110","1"
"0001","20230111","1"
"0001","20230112","1"
"0001","20230113","1"
"0001","20230114","1"
"0003","20230115","1"
"0001","20230116","1"
"0001","20230117","1"
"0001","20230118","1"
"0001","20230119","1"
"0001","20230120","1"
"0001","20230121","1"
"0003","20230122","1"
"0001","20230123","1"
"0001","20230124","1"
"0001","20230125","1"
"0001","20230126","1"
"0001","20230127","1"
"0001","20230128","1"
"0003","20230129","1"
"0001","20230130","1"
"0001","20230131","1"
"0001","20230201","1"
"0001","20230202","1"
"0001","20230203","1"
"0001","20230204","1"
"0003","20230205","1"
"0001","20230206","1"
"0001","20230207","1"
"0001","20230208","1"
"0001","20230209","1"
"0001","20230210","1"
"0001","20230211","1"
"0003","20230212","1"
"0001","20230213","1"
"0001","20230214","1"
"0001","20230215","1"
"0001","20230216","1"
"0001","20230217","1"
"0001","20230218","1"
"0003","20230219","1"
"0001","20230220","1"
"0001","20230221","1"
"0001","20230222","1"
"0001","20230223","1"
"0001","20230224","1"
"0001","20230225","1"
"0003","20230226","1"
"0001","20230227","1"
"0001","20230228","1"
"0001","20230301","1"
"0001","20230302","1"
"0001","20230303","1"
"0001","20230304","1"
"0003","20230305","1"
"0001","20230306","1"
"0001","20230307","1"
"0001","20230308","1"
"0001","20230309","1"
"0001","20230310","1"
"0001","20230311","1"
"0003","20230312","1"
"0001","20230313","1"
"0001","20230314","1"
"0001","20230315","1"
"0001","20230316","1"
"0001","20230317","1"
"0001","20230318","1"
"0003","20230319","1"
"0001","20230320","1"
"0001","20230321","1"
"0001","20230322","1"
"0001","20230323","1"
"0001","20230324","1"
"0001","20230325","1"
"0003","20230326","1"
"0001","20230327","1"
"0001","20230328","1"
"0001","20230329","1"
"0001","20230330","1"
"0001","20230331","1"
"0001","20230401","1"
"0003","20230402","1"
"0001","20230403","1"
"0001","20230404","1"
"0001","20230405","1"
"0002","20230406","1"
"0002","20230407","1"
"0002","20230408","1"
"0004","20230409","1"
"0003","20230410","1"
"0002","20230411","1"
"0001","20230412","1"
"0001","20230413","1"
"0001","20230414","1"
"0001","20230415","1"
"0003","20230416","1"
"0001","20230417","1"
"0001","20230418","1"
"0001","20230419","1"
"0001","20230420","1"
"0001","20230421","1"
"0001","20230422","1"
"0003","20230423","1"
"0001","20230424","1"
"0003","20230425","1"
"0001","20230426","1"
"0001","20230427","1"
"0001","20230428","1"
"0001","20230429","1"
"0003","20230430","1"
"0003","20230501","1"
"0001","20230502","1"
"0001","20230503","1"
"0001","20230504","1"
"0001","20230505","1"
"0001","20230506","1"
"0003","20230507","1"
"0001","20230508","1"
"0001","20230509","1"
"0001","20230510","1"
"0001","20230511","1"
"0001","20230512","1"
"0001","20230513","1"
"0003","20230514","1"
"0001","20230515","1"
"0001","20230516","1"
"0001","20230517","1"
"0001","20230518","1"
"0001","20230519","1"
"0001","20230520","1"
"0003","20230521","1"
"0001","20230522","1"
"0001","20230523","1"
"0001","20230524","1"
"0001","20230525","1"
"0001","20230526","1"
"0001","20230527","1"
"0003","20230528","1"
"0001","20230529","1"
"0001","20230530","1"
"0001","20230531","1"
