stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1","1","Capolinea Via  Piandanna (Uff. delle ent","","40.7156","8.5419","","","","","",""
"10","10","Via  Rizzeddu Fr. civico 21","","40.7137","8.56098","","","","","",""
"100","100","V. Ugo La Malfa retro asilo","","40.7131","8.5771","","","","","",""
"1002","1002","Piazza d'Italia","","40.7247","8.5637","","","","","",""
"1006","1006","Piazza Tola","","40.7281","8.56098","","","","","",""
"101","101","Capolinea P.zza Vienna","","40.7105","8.5528","","","","","",""
"102","102","V. Budapest civico 27","","40.7127","8.55128","","","","","",""
"103","103","V. Budapest Fr. Distributore IP","","40.714","8.55213","","","","","",""
"104","104","V. Dei Mille civico 16","","40.7218","8.56062","","","","","",""
"105","105","V. Dei Mille Fr. Civico 77 (Fr. Parc.)","","40.7176","8.55635","","","","","",""
"106","106","V. Dei Mille civico 44","","40.7208","8.55958","","","","","",""
"109","109","V.le Umberto Fr. civico 21","","40.7277","8.56347","","","","","",""
"11","11","Via  Rizzeddu civico 26","","40.7156","8.56138","","","","","",""
"110","110","P.zza Colonnello Serra Fr. (Merc. Civ.)","","40.73","8.56167","","","","","",""
"1101","1101","V. Bachelet Capolinea","","40.7418","8.57148","","","","","",""
"1102","1102","V. Piredda","","40.7433","8.5673","","","","","",""
"1103","1103","V. Piredda","","40.7432","8.56718","","","","","",""
"1104","1104","V. Piredda","","40.7416","8.56928","","","","","",""
"1106","1106","Via Giagu","","40.7151","8.5842","","","","","",""
"1107","1107","V. Romita","","40.7191","8.58112","","","","","",""
"1108","1108","Via B. Diegu c. sportivo","","40.7812","8.46921","","","","","",""
"1109","1109","Via Washington (fr. scuole elementari)","","40.7119","8.55427","","","","","",""
"1110","1110","S.V. Baddimanna Filigheddu 12","","40.7406","8.57939","","","","","",""
"1111","1111","S.V. Daddimanna Filigheddu 28","","40.7417","8.5876","","","","","",""
"1112","1112","S.V. Daddimanna Filigheddu fr 73/89","","40.7443","8.5921","","","","","",""
"1113","1113","S.V. Daddimanna Filigheddu fr 46 ang. Ba","","40.7435","8.59479","","","","","",""
"1114","1114","S.V. Daddimanna Filigheddu 80","","40.744","8.59885","","","","","",""
"1115","1115","S.V. Baddimanna Filigheddu 73/89","","40.745","8.592","","","","","",""
"1116","1116","S.V. Daddimanna Filigheddu 9","","40.7428","8.58118","","","","","",""
"1117","1117","Via Pigliaru ang. V. Caruso","","40.7351","8.5743","","","","","",""
