route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"1","0001","2-2278-2","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2279-2","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2280-2","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2281-2","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2282-2","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2283-2","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2284-2","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2285-2","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2286-2","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2287-4","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2288-4","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2289-4","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2290-4","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2291-4","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2292-4","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2293-4","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2294-4","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2295-4","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2296-4","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2297-5","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2298-5","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2299-5","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2300-5","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","2-2306-2","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2307-2","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2308-2","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2309-2","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2310-2","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2311-2","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2312-2","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2313-2","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2314-2","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2315-4","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2316-4","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2317-4","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2318-4","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2319-4","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2320-4","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2321-4","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2322-4","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2323-4","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2324-5","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2325-5","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2326-5","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","2-2327-5","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","5-2301-5","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","5-2302-5","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","5-2303-5","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","5-2304-5","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0001","5-2877-5","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","5-2878-5","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","5-2879-5","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0001","5-2880-5","Piandanna - Baddimannedda","1C","","","sh_1C_38","",""
"1","0002","2-2278-69","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0002","2-2279-69","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0002","2-2280-69","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0002","2-2281-69","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0002","2-2282-69","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0002","2-2283-69","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0002","2-2284-69","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0002","2-2285-69","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0002","2-2286-69","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0002","2-2287-71","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0002","2-2288-71","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
"1","0002","2-2289-71","Baddimannedda - Piandanna","1D","","","sh_1D_39","",""
